Rank,Player,Gold,Silver,Bronze,S Tier,Earnings
1,zombs,13,5,1,1,"$113,550"
2,ShahZaM,13,4,1,1,"$113,450"
3,dapr,14,3,1,1,"$112,870"
4,SicK,12,3,1,1,"$112,650"
5,cNed,12,4,2,1,"$107,735"
6,starxo,12,4,1,1,"$104,394"
7,Kiles,6,4,2,1,"$104,093"
8,nAts,14,6,0,1,"$103,829"
9,Chronicle,13,6,0,1,"$103,574"
10,d3ffo,12,4,2,1,"$102,773"
11,Sheydos,10,4,0,1,"$102,626"
12,BONECOLD,5,1,1,1,"$101,918"
13,Redgar,9,4,1,1,"$101,115"
14,zeek,13,4,1,1,"$94,754"
15,TenZ,8,4,3,1,"$92,750"
16,ScreaM,15,9,2,0,"$70,399"
17,soulcas,11,5,3,0,"$68,163"
18,L1NK,11,5,2,0,"$68,083"
19,mixwell,17,5,1,0,"$60,855"
20,crashies,3,5,2,0,"$60,250"
21,Victor,3,3,2,0,"$59,250"
22,FNS,6,6,2,0,"$58,120"
23,Marved,1,4,1,0,"$54,950"
24,Jamppi,4,1,0,0,"$53,980"
25,Rb,19,1,0,0,"$51,200"
26,stax,18,1,1,0,"$50,477"
27,AvovA,11,3,2,0,"$48,903"
28,Asuna,2,5,6,0,"$48,570"
29,k1Ng,17,2,0,0,"$48,469"
30,ardiis,18,0,0,0,"$48,424"
31,Boaster,5,5,2,0,"$48,061"
32,Mistic,5,6,2,0,"$47,905"
33,nukkye,6,3,1,0,"$47,557"
34,Derke,1,3,3,0,"$46,685"
35,Hiko,6,4,2,0,"$45,750"
36,yay,4,5,2,0,"$44,600"
37,Doma,5,6,1,0,"$43,977"
38,nitr0,2,3,2,0,"$43,800"
39,Magnum,7,6,2,0,"$42,531"
40,Kryptix,9,5,3,0,"$42,375"
41,NagZ,13,5,2,0,"$41,980"
42,steel,3,3,2,0,"$41,550"
43,koldamenta,2,7,3,0,"$41,514"
44,vanity,5,1,1,0,"$40,700"
45,Lakia,3,3,2,0,"$39,316"
46,Laz,11,5,1,0,"$38,480"
47,delz1k,8,4,0,0,"$38,350"
48,Mazino,7,3,1,0,"$38,200"
48,Klaus,6,3,1,0,"$38,200"
50,mitch,6,5,5,0,"$37,610"
51,Zest,17,0,0,0,"$37,341"
52,xeta,6,5,3,0,"$36,069"
53,ANGE1,11,5,0,0,"$35,806"
54,keznit,7,3,0,0,"$35,800"
55,Ethan,1,3,2,0,"$35,400"
56,Zyppan,8,6,2,0,"$35,335"
57,hazed,13,5,2,0,"$33,985"
58,Davidp,10,6,2,0,"$33,722"
59,Reita,9,3,2,0,"$33,133"
60,leaf,4,2,2,0,"$33,060"
61,pAura,11,6,0,0,"$32,166"
62,Wardell,16,4,2,0,"$31,260"
63,pyth,10,2,1,0,"$31,096"
64,Saadhak,16,1,1,0,"$30,575"
65,sScary,12,5,1,0,"$30,066"
66,SUYGETSU,10,2,1,0,"$29,407"
67,crow,9,3,2,0,"$29,367"
68,Crws,12,2,2,0,"$29,246"
69,sushiboys,11,3,2,0,"$29,231"
70,keloqz,1,2,1,0,"$29,226"
71,foxz,11,2,1,0,"$29,083"
72,paTiTek,11,3,0,0,"$29,046"
73,Subroza,13,4,2,0,"$27,960"
74,takej,8,3,1,0,"$27,796"
75,barce,8,3,2,0,"$27,732"
76,effys,7,4,2,0,"$27,675"
77,Suggest,2,3,1,0,"$27,118"
77,allow,2,3,1,0,"$27,118"
79,peri,2,2,1,0,"$26,891"
80,Sacy,4,1,1,0,"$26,607"
81,Nivera,2,0,0,0,"$26,561"
82,AYRIN,12,6,2,0,"$26,350"
83,BuZz,3,3,0,0,"$26,248"
84,Xeppaa,3,0,1,0,"$26,100"
85,ShadoW,8,7,1,0,"$24,471"
86,drone,12,4,3,0,"$24,060"
87,BcJ,11,4,0,0,"$23,790"
88,frz,7,0,2,0,"$23,777"
89,Munchkin,4,3,1,0,"$23,690"
90,reltuC,12,4,2,0,"$23,310"
91,rite2ace,25,9,6,0,"$23,184"
92,Shao,9,6,0,0,"$21,968"
93,Hellff,14,12,6,0,"$21,584"
94,Meddo,6,10,2,0,"$21,555"
95,neth,6,5,1,0,"$21,440"
